Time [s], Analyzer Name, Decoded Protocol Result
0.058912812500000,I2C,0xB1 + ACK
0.058936000000000,I2C,0xAC + ACK
0.058964375000000,I2C,Setup Write to [0xC0] + ACK
0.058987562500000,I2C,0x03 + ACK
0.059010687500000,I2C,0xFA + ACK
0.063629375000000,I2C,Setup Write to [0xC0] + ACK
0.063652562500000,I2C,0x03 + ACK
0.063675687500000,I2C,0xFF + ACK
0.063704125000000,I2C,Setup Write to [0xC0] + ACK
0.063727250000000,I2C,0xBB + ACK
0.063750437500000,I2C,0xC0 + ACK
0.063778812500000,I2C,Setup Write to [0xC0] + ACK
0.063802000000000,I2C,0x0F + ACK
0.063825125000000,I2C,0x00 + ACK
0.063848312500000,I2C,0x4F + ACK
0.063871500000000,I2C,0x80 + ACK
0.063894687500000,I2C,0x6F + ACK
0.063917812500000,I2C,0x80 + ACK
0.063941000000000,I2C,0x80 + ACK
0.063964187500000,I2C,0x80 + ACK
0.063987312500000,I2C,0x80 + ACK
0.064010500000000,I2C,0x80 + ACK
0.064033687500000,I2C,0xAA + ACK
0.064056875000000,I2C,0xFF + ACK
0.064080000000000,I2C,0xF4 + ACK
0.064103187500000,I2C,0x24 + ACK
0.064126375000000,I2C,0x00 + ACK
0.064149562500000,I2C,0x0D + ACK
0.064172687500000,I2C,0x6B + ACK
0.064195875000000,I2C,0x00 + ACK
0.064219062500000,I2C,0x05 + ACK
0.064242187500000,I2C,0x73 + ACK
0.064265375000000,I2C,0xF4 + ACK
0.064288562500000,I2C,0x24 + ACK
0.064311750000000,I2C,0x00 + ACK
0.064334875000000,I2C,0x0D + ACK
0.064358062500000,I2C,0x6A + ACK
0.064381250000000,I2C,0x00 + ACK
0.064404375000000,I2C,0xE0 + ACK
0.064427562500000,I2C,0x98 + ACK
0.064450750000000,I2C,0x00 + ACK
0.064473875000000,I2C,0x01 + ACK
0.064497062500000,I2C,0x0C + ACK
0.064520250000000,I2C,0x00 + ACK
0.064543437500000,I2C,0x00 + ACK
0.064566562500000,I2C,0x00 + ACK
0.064589750000000,I2C,0x00 + ACK
0.064612937500000,I2C,0x00 + ACK
0.064636125000000,I2C,0x00 + ACK
0.064659250000000,I2C,0x00 + ACK
0.064682437500000,I2C,0x00 + ACK
0.064705625000000,I2C,0x00 + ACK
0.064728750000000,I2C,0x00 + ACK
0.064751937500000,I2C,0x00 + ACK
0.064775125000000,I2C,0x00 + ACK
0.064798250000000,I2C,0x00 + ACK
0.064821437500000,I2C,0x00 + ACK
0.064844625000000,I2C,0x01 + ACK
0.064867812500000,I2C,0x0C + ACK
0.064890937500000,I2C,0x00 + ACK
0.064914125000000,I2C,0x00 + ACK
0.064937312500000,I2C,0x00 + ACK
0.064965687500000,I2C,Setup Write to [0xC0] + ACK
0.064988875000000,I2C,0xB1 + ACK
0.065012000000000,I2C,0xAC + ACK
0.065040375000000,I2C,Setup Write to [0xC0] + ACK
0.065063562500000,I2C,0x03 + ACK
0.065086750000000,I2C,0xFA + ACK
0.069705187500000,I2C,Setup Write to [0xC0] + ACK
0.069728375000000,I2C,0x03 + ACK
0.069751562500000,I2C,0xFF + ACK
0.069779937500000,I2C,Setup Write to [0xC0] + ACK
0.069803062500000,I2C,0xBB + ACK
0.069826250000000,I2C,0xC0 + ACK
0.069854625000000,I2C,Setup Write to [0xC0] + ACK
0.069877812500000,I2C,0x0F + ACK
0.069900937500000,I2C,0x00 + ACK
0.069924125000000,I2C,0x4F + ACK
0.069947250000000,I2C,0x80 + ACK
0.069970437500000,I2C,0x6F + ACK
0.069993625000000,I2C,0x80 + ACK
0.070016750000000,I2C,0x80 + ACK
0.070039937500000,I2C,0x80 + ACK
0.070063125000000,I2C,0x80 + ACK
0.070086250000000,I2C,0x80 + ACK
0.070109437500000,I2C,0xAA + ACK
0.070132625000000,I2C,0xFF + ACK
0.070155750000000,I2C,0x3D + ACK
0.070178937500000,I2C,0x09 + ACK
0.070202125000000,I2C,0x00 + ACK
0.070225250000000,I2C,0x0D + ACK
0.070248437500000,I2C,0x7A + ACK
0.070271625000000,I2C,0x00 + ACK
0.070294750000000,I2C,0x17 + ACK
0.070317937500000,I2C,0x35 + ACK
0.070341125000000,I2C,0x7A + ACK
0.070364312500000,I2C,0x12 + ACK
0.070387437500000,I2C,0x00 + ACK
0.070410625000000,I2C,0x0D + ACK
0.070433812500000,I2C,0x7A + ACK
0.070456937500000,I2C,0x00 + ACK
0.070480125000000,I2C,0x21 + ACK
0.070503312500000,I2C,0xEC + ACK
0.070526437500000,I2C,0x00 + ACK
0.070549625000000,I2C,0x01 + ACK
0.070572812500000,I2C,0x0C + ACK
0.070596000000000,I2C,0x00 + ACK
0.070619125000000,I2C,0x00 + ACK
0.070642312500000,I2C,0x00 + ACK
0.070665500000000,I2C,0x00 + ACK
0.070688625000000,I2C,0x00 + ACK
0.070711812500000,I2C,0x00 + ACK
0.070735000000000,I2C,0x00 + ACK
0.070758125000000,I2C,0x00 + ACK
0.070781312500000,I2C,0x00 + ACK
0.070804500000000,I2C,0x00 + ACK
0.070827625000000,I2C,0x00 + ACK
0.070850812500000,I2C,0x00 + ACK
0.070874000000000,I2C,0x00 + ACK
0.070897125000000,I2C,0x00 + ACK
0.070920312500000,I2C,0x01 + ACK
0.070943500000000,I2C,0x0C + ACK
0.070966625000000,I2C,0x00 + ACK
0.070989812500000,I2C,0x00 + ACK
0.071013000000000,I2C,0x00 + ACK
0.071041375000000,I2C,Setup Write to [0xC0] + ACK
0.071064500000000,I2C,0xB1 + ACK
0.071087687500000,I2C,0xAC + ACK
0.071116062500000,I2C,Setup Write to [0xC0] + ACK
0.071139250000000,I2C,0x03 + ACK
0.071162437500000,I2C,0xFA + ACK
0.075781187500000,I2C,Setup Write to [0xC0] + ACK
0.075804375000000,I2C,0x03 + ACK
0.075827562500000,I2C,0xFF + ACK
0.075855937500000,I2C,Setup Write to [0xC0] + ACK
0.075879062500000,I2C,0xBB + ACK
0.075902250000000,I2C,0xC0 + ACK
0.075930625000000,I2C,Setup Write to [0xC0] + ACK
0.075953812500000,I2C,0x0F + ACK
0.075976937500000,I2C,0x00 + ACK
0.076000125000000,I2C,0x4F + ACK
0.076023312500000,I2C,0x80 + ACK
0.076046437500000,I2C,0x6F + ACK
0.076069625000000,I2C,0x80 + ACK
0.076092812500000,I2C,0x80 + ACK
0.076115937500000,I2C,0x80 + ACK
0.076139125000000,I2C,0x80 + ACK
0.076162312500000,I2C,0x80 + ACK
0.076185437500000,I2C,0xAA + ACK
0.076208625000000,I2C,0xFF + ACK
0.076231812500000,I2C,0x3D + ACK
0.076254937500000,I2C,0x09 + ACK
0.076278125000000,I2C,0x00 + ACK
0.076301312500000,I2C,0x0A + ACK
0.076324500000000,I2C,0xF5 + ACK
0.076347625000000,I2C,0x00 + ACK
0.076370812500000,I2C,0x14 + ACK
0.076394000000000,I2C,0xE2 + ACK
0.076417125000000,I2C,0x7A + ACK
0.076440312500000,I2C,0x12 + ACK
0.076463500000000,I2C,0x00 + ACK
0.076486625000000,I2C,0x0A + ACK
0.076509812500000,I2C,0xF5 + ACK
0.076532937500000,I2C,0x00 + ACK
0.076556125000000,I2C,0x1D + ACK
0.076579312500000,I2C,0x45 + ACK
0.076602500000000,I2C,0x00 + ACK
0.076625625000000,I2C,0x01 + ACK
0.076648812500000,I2C,0x0C + ACK
0.076672000000000,I2C,0x00 + ACK
0.076695125000000,I2C,0x00 + ACK
0.076718312500000,I2C,0x00 + ACK
0.076741500000000,I2C,0x00 + ACK
0.076764625000000,I2C,0x00 + ACK
0.076787812500000,I2C,0x00 + ACK
0.076811000000000,I2C,0x00 + ACK
0.076834125000000,I2C,0x00 + ACK
0.076857312500000,I2C,0x00 + ACK
0.076880437500000,I2C,0x00 + ACK
0.076903625000000,I2C,0x00 + ACK
0.076926812500000,I2C,0x00 + ACK
0.076949937500000,I2C,0x00 + ACK
0.076973125000000,I2C,0x00 + ACK
0.076996312500000,I2C,0x01 + ACK
0.077019437500000,I2C,0x0C + ACK
0.077042625000000,I2C,0x00 + ACK
0.077065812500000,I2C,0x00 + ACK
0.077088937500000,I2C,0x00 + ACK
0.077117312500000,I2C,Setup Write to [0xC0] + ACK
0.077140500000000,I2C,0xB1 + ACK
0.077163687500000,I2C,0xAC + ACK
0.077192062500000,I2C,Setup Write to [0xC0] + ACK
0.077215187500000,I2C,0x03 + ACK
